num_qubits,5
Number(N),21
a,17
start_time,01:36:58
end_time,02:20:06
duration,0:43:07.452825
result_factors,[]
prob_success,0
prob_failure,100.0
total_counts,674
result_successful_counts,0
result_failure_counts,674
circuit_width,24
circuit_depth,15965
circuit_size,24003
circuit_num_nonlocal_gates,16450
circuit_num_ancillas,0
circuit_num_clbits,11
circuit_num_qubits,13
circuit_num_of_count_ops,7
circuit_num_of_x,211
circuit_num_of_measure,2046
circuit_num_of_h,3673
circuit_num_of_cswap,50
circuit_num_of_swap,
circuit_num_of_cx,3800
circuit_num_of_toffoli,
circuit_num_of_p,
circuit_num_of_t,
circuit_decomposed_width,24
circuit_decomposed_depth,38448
circuit_decomposed_size,74503
circuit_decomposed_num_nonlocal_gates,29150
circuit_decomposed_num_ancillas,0
circuit_decomposed_num_clbits,11
circuit_decomposed_num_qubits,13
circuit_decomposed_num_of_count_ops,6
circuit_decomposed_num_of_x,
circuit_decomposed_num_of_measure,2046
circuit_decomposed_num_of_h,
circuit_decomposed_num_of_cswap,
circuit_decomposed_num_of_swap,
circuit_decomposed_num_of_cx,29100
circuit_decomposed_num_of_toffoli,
circuit_decomposed_num_of_p,
circuit_decomposed_num_of_t,
qc_compiled_width,24
qc_compiled_depth,15210
qc_compiled_size,23437
qc_compiled_num_nonlocal_gates,15900
qc_compiled_num_ancillas,0
qc_compiled_num_clbits,11
qc_compiled_num_qubits,13
qc_compiled_num_of_count_ops,9
qc_compiled_num_of_x,11
qc_compiled_num_of_measure,2046
qc_compiled_num_of_h,3365
qc_compiled_num_of_cswap,
qc_compiled_num_of_swap,
qc_compiled_num_of_cx,3300
qc_compiled_num_of_toffoli,
qc_compiled_num_of_p,
qc_compiled_num_of_t,100
